seed,shots,base_noise_level,true_attack,predicted_threat,is_rejected,fidelity,bell_c_zz,tv_x,tv_y,tv_z
43,5000,0.03,IMPERSONATION,IMPERSONATION,True,0.9917999999999997,1.0,0.0,0.0,0.0
44,5000,0.03,IMPERSONATION,IMPERSONATION,True,0.9917999999999997,1.0,0.0,0.0,0.0
45,5000,0.03,IMPERSONATION,IMPERSONATION,True,0.9917999999999997,1.0,0.0,0.0,0.0
46,5000,0.03,IMPERSONATION,IMPERSONATION,True,0.9917999999999997,1.0,0.0,0.0,0.0
42,5000,0.03,REPLAY,REPLAY,True,0.9917999999999997,1.0,0.0,0.0,0.0
43,5000,0.03,REPLAY,REPLAY,True,0.9917999999999997,1.0,0.0,0.0,0.0
44,5000,0.03,REPLAY,REPLAY,True,0.9917999999999997,1.0,0.0,0.0,0.0
45,5000,0.03,REPLAY,REPLAY,True,0.9917999999999997,1.0,0.0,0.0,0.0
46,5000,0.03,REPLAY,REPLAY,True,0.9917999999999997,1.0,0.0,0.0,0.0
42,5000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9701999999999996,1.0,0.021600000000000064,0.0,0.0
43,5000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9701999999999996,1.0,0.021600000000000064,0.0,0.0
44,5000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9701999999999996,1.0,0.021600000000000064,0.0,0.0
45,5000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9701999999999996,1.0,0.021600000000000064,0.0,0.0
46,5000,0.03,CHANNEL_MANIPULATION,NORMAL,False,0.9701999999999996,1.0,0.021600000000000064,0.0,0.0
42,5000,0.05,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
43,5000,0.05,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
44,5000,0.05,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
45,5000,0.05,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
46,5000,0.05,NORMAL,NORMAL,False,0.9869999999999997,1.0,0.0,0.0,0.0
42,5000,0.05,FORGERY,FORGERY,True,0.9678,1.0,0.5,0.00880000000000003,0.4636
43,5000,0.05,FORGERY,FORGERY,True,0.9678,1.0,0.49979999999999997,0.008599999999999997,0.4636
44,5000,0.05,FORGERY,FORGERY,True,0.9678,1.0,0.49979999999999997,0.008599999999999997,0.4636
45,5000,0.05,FORGERY,FORGERY,True,0.9678,1.0,0.49979999999999997,0.008799999999999975,0.4638
46,5000,0.05,FORGERY,FORGERY,True,0.9678,1.0,0.49979999999999997,0.008999999999999952,0.46399999999999997
42,5000,0.05,IMPERSONATION,IMPERSONATION,True,0.9869999999999997,1.0,0.0,0.0,0.0
